135	1	A and A Laboratory	Joab K. Aronson, Owner and  research director; 1 biologist-chemist, 3 auxiliaries.
147	2	A. C. A. Laboratories	Leon Braun, President and  Director of Research; 1 engineer, 6 technicians, 3 auxiliaries.
157	3	ACF Industries, Inc	William T. Whelan, Director, Research and Development; 6 data analysts; engineers: 18 electronics, 20 field operations, 2 mechanical; 2 mathematicians, 6 physicists, 2 technicians, 5 auxiliaries. | M. M. Millette, Plant Manager and research director; R. J. Reid, Technical Employment Manager; engineers: 6 aeronautical, 51 electrical, 5 mechanical; 2 mathematicians, 3 physicists, 2 psychologists, 130 technicians, 49 auxiliaries. | D. Friedman, Manager, Military Products, and research director; A. Peck, Manager, Industrial Relations; engineers: 108 electronics, 11 mechanical, 20 research; 2 mathematicians, 7 physicists, 26 technicians, 51 auxiliaries. | George E. Reed, Manager, Research Laboratories; R. G. Richardson (New York), technical personnel director; 6 chemists; engineers: 1 electrical, 7 mechanical, 3 welding; 1 mathematician, 8 metallurgists, 23 technicians, 8 auxiliaries. | A. C. Korte, Chief Engineer and research director; George Share, Salary Administrator; engineers: 4 chemical, 1 electrical, 16 mechanical; 1 mathematician, 1 metallurgist, 15 technicians, 3 auxiliaries. | R. O. Wynn, Vice President, Engineering; O. Bliss Williams, Director of Industrial and Public Relations; 2 chemists; engineers: 1 chemical, 8 mechanical; 2 metallurgists, 7 auxiliaries.
207	4	A C H Fiber Service, Inc	Herbert J. Wollner, President and research director; 1 biologist, 5 chemists, 3 chemical engineers, 4 other professionals (textile technology and animal husbandry), 8 technicians, 12 auxiliaries.
213	5	ADC Inc	W. E. Lehnert, President and  Director of Research; L. A. Robert, Manager, Production Engineering and Applied Research; 1 chemist, 8 engineers, 4 technicians.
221	6	AER, Inc	Robert E. Oliver, President  and Director of Research; engineers: 3 aeronautical, 3 mechanical; 2 mathematicians, 1 physicist, 2 technicians, 2 auxiliaries.
229	7	AMP, Inc	F. H. Wells, Director of Research; Frank Williamson, Personnel Supervisor; 1 biologist, 3 chemists, 2 mechanical engineers, 1 mathematician, 1 metallurgist, 2 physicists, 9 technicians, 21 auxiliaries.
237	8	APCO Research Laboratory	M. P. Medwick, President and research director; 5 chemists, 2 chemical engineers, 6 technicians, 30 auxiliaries.
245	9	ARC Laboratories	George G. Olsen, Research Director; Lester J. Hayt, technical personnel director; 3 chemists, 1 geologist, 1 metallurgist, 3 technicians, 2 auxiliaries.
255	10	A. R. F. Products, Inc	John J. Pakan, Executive Vice President, Research and Development; engineers: 12 electrical, 2 mechanical; 12 technicians.
265	11	A. R. & T. Electronics, Inc	John D. Reid, Executive Vice  President; engineers: 31 electrical, 4 mechanical ; 20 technicians, 25 auxiliaries.
275	12	Abbl Engineering Co.	
287	13	Abbott Laboratories	Arthur W. Weston, Director of Research and Development; Elmer B. Vliet, Chairman of Board and Scientific Administrator; 55 bacteriologists, 82 biologists, 115 chemists, 12 chemical engineers, 4 mathematicians, 39 pharmacists, 17 physicians, 1 physicist, 2 psychologists, 236 technicians, 173 auxiliaries.
299	14	Abrams Aerial Survey Corp	Raymond F. Town, Operations Manager; Silvano Tombelli, Chief Photo-grammetrist; Bruno Sciambi, Chief Cartographer; Jack Freeman, Chief Photo Interpreter; 10 cartographers, 2 geologists, 3 mathematicians, 6 photogrammetrists, 30 technicians.
309	15	Ace Engineering & Machine Co.	C. R. Schaller, Chief Engineer; engineers: 1 electrical, 2 mechanical; 2 technicians, 2 auxiliaries.
315	16	Ace Glass Inc	Charles M. De Woody, Di  rector of Research and Development; 2 chemical engineers, 2 technicians, 1 auxiliary.
325	17	Aceto Chemical Co.	Seymour Mann, President and  research director; 2 chemists, 2 chemical engineers, 3 auxiliaries.
335	18	Acheson Industries, Inc	Arthur J. Stock, Research and Development Manager; 3 chemists; engineers: 5 chemical, 1 industrial; 8 technicians, 3 auxiliaries. | W. F. Polfus, Research and Development Manager; 3 chemists, 1 chemical engineer, 4 technicians, 2 auxiliaries. | E. R. Braithwaite, Research and Development Manager; 6 chemists, 2 technicians, 2 auxiliaries.
375	19	Acme Battery Corp	Matthew Orlando, Secretary and Director of Research; Aaron Goldstein, Technical Personnel Director; 1 chemist, 2 engineers, 2 auxiliaries.
383	20	Acme Industries, Inc	L. R. Smith, Research and Advanced Design Manager; H. R. Krueger, Director of Engineering and technical personnel director; 6 product development engineers, 4 technicians.
393	21	Acme Precision Products Corp	Harold B. Rose, Chief Engineer; E. M. Cowan, Personnel Manager; 6 electrical engineers, 5 technicians, 2 auxiliaries.
403	22	Acme Protection Equipment Co.	L. N. Rodenhouse, Chief Engineer; 1 machinist engineer.
415	23	Acme Steel Co.	J. N. Wognum, Chief Research Engineer; 2 chemists, 2 mechanical engineers, 1 mathematician, 5 technicians, 1 auxiliary.
427	24	Acoustica Associates, Inc	Stanley R. Rich, President and Technical Director (General Ultrasonics Division) ; William Sylvester, Personnel Director; 1 chemist; engineers: 2 ceramics, 5 electrical, 25 electronics, 10 mechanical, 1 mining; 1 mathematician, 2 physicists, 40 technicians, 20 auxiliaries. | Harry Kompanek, President and research director; Frans Tieman, Plant Manager; 1 chemist, 2 ceramic engineers, 1 physicist, 3 auxiliaries.
447	25	Aera Electric Corp	Matthew Hummel, Chief Engineer ; 2 electrical engineers, 2 technicians.
457	26	Acromark Co.	F. C. Barner, Plant Manager and Assistant Chief Engineer, research director; William A. Heine, General Manager and Chief Engineer, technical personnel director; engineers: 1 chemical, 1 electrical, 1 mechanical; 3 auxiliaries.
467	27	Acrometal Products, Inc	Fred J. Bieber, President and technical personnel director; Edward H. Harris, director, Research and Development; 3 mechanical engineers, 3 technicians.
475	28	Acton Laboratories	George E. Pihl, President and  research director; Lawrence Beloungie, Chief Instrument Engineer and technical personnel director ; engineers: 5 electronics, 2 mechanical; 1 mathematician, 2 physicists, 4 technicians, 8 auxiliaries.
485	29	Actuation Research Corp	Richard D. May stead, President and technical personnel director; Otis A.  Wright, Vice President, research director; 7 mechanical engineers, 5 technicians, 3 auxiliaries.
495	30	Adair, George P., Engineering Co.	
505	31	Adam Laboratory	Elisabeth Adam Kroo, Owner  and research director; 1 bacteriologist, 1 biologist, 1 chemist, 1 physician, 1 auxiliary.
515	32	Adams, R. P., Co.	R. J. Adams, Plant Manager, research; Donald Taylor, Personnel Director; 10 mechanical engineers, 2 mathematicians.
525	33	Addressograph-Multigraph Corp	C. S. Margach, Vice President, Research and Engineering; A. E. J. Owen, Manager, Product Research Laboratory; 7 chemists; engineers: 1 electronics, 6 mechanical;  -   4 industrial designers, 1 physicist, 13 technicians,  -   2 auxiliaries.
539	34	Adelphi College. Adelphi Research Center,	Francis K. Ballaine, Vice  President and Executive Director; 5 biologists, 6 chemists, 2 economists, 8 mathematicians, 4 physicists, 7 psychologists, 1 sociologist, 7 technicians.
549	35	Adhesive Products, Inc	Herbert E. Carlson, Director of Research; 6 chemists, 3 technicians.
559	36	Adolph’s Food Products Manufacturing Co.	Paul G. Miller, Director of Research; 1 biologist, 6 chemists, 2 home economists, 1 physician, 2 technicians, 2 auxiliaries.
565	37	Advanced Dynamics, Inc	Dezso J. Ladanyi, President and technical personnel director; David A. Huebscher, Chief of Research and Development; 1 chemical engineer, 1 chemist, 1 mathematician, 5 instrument technicians, 3 other technicians, 4 auxiliaries.
571	38	Advanced Instrument Corp	Jack S. Hawley, Vice President and research director; Elwyn Evans, Jr., Business Manager; engineers: 2 electrical, 2 mechanical ; 1 mathematician, 2 technicians, 1 auxiliary.
581	39	Advanced Research Associates, Inc	Donald Frederick Widmayer, President and General Manager; engineers: 3 electronics, 1 mechanical; 1 physicist, 5 technicians, 2 auxiliaries.
591	40	Advanced Technology Corp	F. K. Feldmann, Vice President and Technical Director; engineers: 5 aeronautical, 3 electrical; 1 mathematician, 2 physicists, 1 technician, 3 auxiliaries.
