111	AC Laboratories	AC LABORATORIES, INC
121	ACF Industries	ACF INDUSTRIES, INC.
190	ACH Fiber Service	ACH FIBER SERVICE INCORPORATED
199	ACR Electronics Corporation	ACR ELECTRONICS CORPORATION
215	Ada Bio-Chem	ADA BIO-CHEM INCORPORATED
228	AER Corporation	AER CORPORATION
242	APCO Research Laboratory	APCO RESEARCH LABORATORY
263	APM Hexseal Corporation	APM-HEXSEAL CORP.≤
275	Arcs Industries	ARCS INDUSTRIES, INC.
285	Avco Corporation	AVCO CORPORATION
324	Abbott Laboratories	ABBOTT LABORATORIES
351	Abbott Screw and Manufacturing Company	ABBOTT SCREW & MANUFACTURING CO.
365	Abtronics	ABTRONICS, INC.
375	Academy Testing Laboratories	ACADEMY TESTING LABORATORIES INCORPORATED
386	Accessory Controls and Equipment Corporation	ACCESSORY CONTROLS & EQUIPMENT CORP.
394	Accurate Electronics Corporation	ACCURATE ELECTRONICS CORP.
401	Aceto Chemical Company	ACETO CHEMICAL COMPANY INCORPORATED
414	Acheson Industries	ACHESON INDUSTRIES, INC.
446	Acme Electric Corporation	ACME ELECTRIC CORPORATION
461	Acme Electric Heating Corporation	ACME ELECTRIC HEATING CORPORATION
473	Acme Steel Company	ACME STEEL CO.
494	Acoustica Associates	ACOUSTICA ASSOCIATES, INC.
505	Acroscope Engineering	ACROSCOPE ENGINEERING, INC.
510	Acton Laboratories	ACTON LABORATORIES INCORPORATED
520	Adair Engineering Company	GEORGE P. ADAIR ENGINEERING COMPANY
531	Adam Laboratory	ADAM LAB.
541	Adamas Carbide Corporation	ADAMAS CARBIDE CORP.
552	Adams Rite Manufacturing Company	ADAMS RITE MANUFACTURING COMPANY
562	Adams Russell Company	ADAMS - RUSSELL COMPANY INCORPORATED
577	Adaptronics	ADAPTRONICS, INC.
585	Adcole Corporation	ADCOLE CORPORATION
596	Addressograph-Multigraph Corporation	ADDRESSOGRAPH - MULTIGRAPH CORPORATION
608	ADEC	ADEC INCORPORATED
619	Admiral Corporation	ADMIRAL CORPORATION
634	Adolph’s Food Products Manufacturing Company	ADOLPH’S FOOD PRODUCTS MANUFACTURING CO.
644	Advance Data Systems Corporation	ADVANCE DATA SYSTEMS CORPORATION
654	Advanced Communications	ADVANCED COMMUNICATIONS INCORPORATED
665	Advanced Development Laboratories	ADVANCED DEVELOPMENT LABORATORIES INCORPORATED
