111	AC LABORATORIES, INC.	C.J. Painter, Chief Engr.
121	ACF INDUSTRIES, INC.	George Reed, Mgr. Tech. Center (Materials & Test) W. J. Ruprecht, Dir. - Engr. & Research (Design) R. Mowatt-Larssen, Mgr. Design Dev. R. M. Cook, Mgr. Applied Research (Applied Meeh.) Laboratory Staff: Chemists 2, mech. engr. 35, math. 2, metallurgists 3, techn. 5, other lab staff 23. | C. K. JRaynsford, Mgr. Engrg. & Research (Physics and Elec.) Ellis M. Zacharias, Jr, Mgr. Underwater Lab (Underwater Technology) Neal Diepeveen, Mgr. Detection Lab (Infrared and Optical Detection and Processing) Francis J. Enge, Mgr. Microwave Lab (Electronic Tracking and Locating Techniques) Saul Bass, Mgr. Navigation-Display Lab (Navigation Displays) M. Ackerman, Mgr. Engr. and Rsch. R. Graham, Mgr. Data Communications D. Crawford, Mgr. Simulators and Training Devices | A. C. Korte, Dir. Engrg. & Rsch. (Fuel Systems) H. A. Carlson, Asst. Chief Engr. Rsch. (Fuel Systems) F. W. Cook, Asst. Chief Engr. (Carburetors) J. M. White, Asst. Chief Engr. (Fuel Pumps) 3 ACF Industries, Inc. INDUSTRIAL RESEARCH LABORATORIES Laboratory Staff: Chem. 1, mech. engr. 28, elec. engr. 1, chem. engr. 1, metallurgists 1, techn. 56, other lab staff 30. | W. E. Lowrey, Dir. Engrg. & Research (Mechanical) M. T. Works, Mgr. Dev. Engrg. (Mechanical) R. M. Estes, Mgr. Product Engineering (Mechanical) M. R. Chance, Mgr. Metallurgy Laboratory Staff: Chemists 1, mech. engr. 7, chem. engr. 1, industrial engr. 1, math. 1, metallurgists 2, techn. 10, other lab staff 7. | Dr. Carl R. Garr, Dir. of Applied R&D (Metallurgy) Joseph E. Fisher, Mgr.-Mech. Dev. & Test Engrg. (Mech. Des.) Dr. Glenn W. Oyler, Mgr. Materials and Process Dev. (Materials Development) Laboratory Staff: Chemists 13, mech. engr. 50, welding engr. 5, plastics engr. 8, metallurgists 9, techn. 90, other lab staff 19.
190	ACH FIBER SERVICE INCORPORATED	Herber J. Wollner, Dir. of Rsch. (Fiber Chem. & Engrg.) Laboratory Staff: Chemists 6, textile engr. 1, techn. 2.
199	ACR ELECTRONICS CORPORATION	Norton Sunshine, Chief Engr. (Electronics) Robert Blum, Project Engr. (Electronics) Norman Miller, Project Engr. (Flight Hardware) Steward Biederman, Reliability (Syst. & Components) Murray Kosoff, Quality Assurance Mgr. (Syst. & Components) Richard Mauro, Project Engr. (Aero. Mech.) Norman Sklar, Chief Mech. Design (Aero. Mech.) Laboratory Staff: Chemists 1, electronic engr. 8, mech. engr. 3, optical engr. 2, math. 1, physicists 1, techn. 8, other lab staff 11.
215	ADA BIO-CHEM INCORPORATED	Robert W. Lawson, Mgr. (Pharmacology & Bio-Chem.) Laboratory Staff: Biologists 2, chemists 1, M.D.’s 5, pharmacist 1, techn. 2, other lab staff 2.
228	AER CORPORATION	J. A. Villalobos, Mgr. Special Drying R. W. Grott, Chief Engr. Laboratory Staff: Mech. engr. 5.
242	APCO RESEARCH LABORATORY	M.P. Medwick, Pres. (Elastomers) M. Lammantine, Asst. R&D (Adhesives) M.S. Peters, Chemist (Coatings) W.H. Hughes, Chemist (Epoxies & Polyesters) P.C. Astor, Chem. Engr. Laboratory Staff: Biologists 1, chemists 3, other professionals 4, techn. 8, other lab staff 2.
263	APM-HEXSEAL CORP.	Milton Morse, Dir. Engrg.
275	ARCS INDUSTRIES, INC.	B.W. Harris, V.P. Rsch. Laboratory Staff: Chem. engr. 1, elec. engr. 3, mech. engr. 2, techn. 3, other lab staff 3.
285	AVCO CORPORATION	E. Douglas Kenna, V.P. & Gen. Mgr. J.A. Kyger, V.P. & Deputy Gen. Mgr. (Chem. & Nucleonics) Also, V.P. & Asst. Gen. Mgr. for Operations & Support M.C. Adams, V.P. & Asst. Gen. Mgr.-Space Syst. (Aerothermodynamics) M. Malin, V.P. - Rsch. (Nuclear Physics) F. W. Diedrich, V.P. - Advanced Space Syst. (Nuclear Physics) M.B.T. George, V.P. & Dir.-Plans & Programs (Aerodynamics) R.W. Detra, V.P. & Asst. Gen. Mgr.-Missile Syst. (Adrothermodynamics) Laboratory Staff: Biologists 6, chemists 100, M.D. 1, mech. engr. 350, EE&G 270, aero, dynamics engr. 1500, other lab staff 2000. | F.R. Riddell, Gen. Mgr. Gas Dynamics H.V. Stewart, Dir. of Rsch. K.R. Damon, Dir. of Adv. Technology J. W. Riley, Dir. of Engrg. M.I. Gamble, Program Mgr, Spaceflight Design Programs K. M. Hoalst, Program Mgr, Biophysics Research Programs J.E. Russell, Program Mgr, Space Vehicle Instrumentation Laboratory Staff: Biologists 2, chemists 5, M.D. 1, mech. engr. 15, elec. engr. 15, math. 1, metallurgists 1, physicists 9, techn. 40, other lab staff 22.
324	ABBOTT LABORATORIES	Dr. A.W. Weston, V.P. of R&D Dr. K.E. Hamlin, Dir. of Rscn. (Medicinal Chem.) Dr. H.M. Gross, Dir. of New Products (Pharmacy) Dr. G.R. Hazel, V.P. for Medical Affairs (Medicine) Dr. R.W. Rivett, Dir. of Adm. & Services (Adm.) Dr. M.T. Leffler, Dir. of Liaison (Medicinal Chem.) Laboratory Staff: Biologists 96, chemists 211, M.D.’s 19, chem. engr. 32, math. 5, physicists 1, psychologists 5, pharmacists 45, pharmacologists 30, techn. 24, other lab staff 385. | William L. Hartop, Dir. of R&D (Chem.) O.F. Garrett, Dir. of Rsch. (Chem.) C.K. Ortman, Dir. of Quality Control (Chem.) Laboratory Staff: Biologists 3, chemists 11, chem. engr. 3, math. 1, dairy science 3, others 2, bacteriologists 2, techn. 32, other lab staff 4.
351	ABBOTT SCREW & MFGO CO.	Paul Lindgren, Dir. Engrg. Otto Lobatz, Chief Engr.
365	ABTRONICS, INC.	H.’ M. Owren, Pres. & Tech. Dir. (Tube Development & Research) Laboratory Staff: Techn. 3, other lab staff 4.
