A001	Don Aadland Engineering
A002	Aardvark Instrument Co, Inc
A003	Abacus Controls Inc
A004	ABA Industries, Inc
A005	Abaris Corporation
A006	Abbott Laboratories
A007	Abbott Transistor Labs, Inc
A008	ABC Digital Electronics
A009	Abco Laboratory, Inc
A010	Irving Abend Associates
A011	R G Abernethy Industries, Inc
A012	Abrams Aerial Survey Corporation
A013	Abrams Instrument Company
A014	Academy for Educational Development, Inc
A015	Academy of Natural Sciences of Philadelphia
A016	Academy Testing Laboratories, Inc
A017	Accelerators, Inc
A018	ACCO
A019	Accumetrics Corporation
A020	Accuracy Systems, Inc
A021	A C D Corp
A022	Ace Glass Incorporated
A023	Ace Machining Company
A024	ACETO Chemical Co, Inc
A025	ACF Industries Incorporated
A026	ACG Incorporated
A027	Ackerbauer Laboratories, Inc
A028	Ackerman Bodnar Corp
A029	ACL-Filco Corporation
A030	ACLS Corporation
A031	Acme-Cleveland Corporation
A032	Acme Electric Corporation
A033	Aera Electric Corp
A034	The Acromark Co
A035	Acrometal Products, Inc
A036	Aero Plastics
A037	Action
A038	Action Products, Inc
A039	Acton Research Corporation
A040	Actron
A041	Actuarial Computer Technology, Inc
A042	Actuarial Research Corporation
A043	Acurex Corporation
A044	ADAC Laboratories
A045	Adage, Inc
A046	Adamas Carbide Corporation
A047	Adam Laboratory
A048	Henry Adams Inc
A049	Joseph Adams Corp
A050	Adams Rite Industries, Inc
A051	Adams-Russell Co, Inc
A052	Adaptive Science Corporation
A053	Adaptive Systems Corporation
A054	Adaptronics, Inc
A055	Adapt Service Corporation
A056	A & D Associates
A057	ADB-ALNACO
A058	Adcole Corporation
A059	ADC Products
A060	ADDS Applied Digital Data Systems, Inc
A061	Adelphi Industries
A062	A D G O Inc
A063	Adhesive Products Corporation
A064	Adhesives Research, Inc
A065	Adria Laboratories, Inc
A066	Adronics, Inc
A067	Adtech, Inc
A068	Advance Cooler Mfg Corp
A069	Advanced Applications Institute, Inc
A070	Advanced Biofactures Corp
A071	Advanced Design Corporation
A072	Advanced Electronics Design, Inc
A073	Advanced Industries, Inc
A074	Advanced Kinetics, Inc
A075	Advanced Machine Design Company
A076	Advanced Marine Enterprises, Inc
A077	Advanced Mechanical Technology, Inc
A078	Advanced Patent Technology, Inc
A079	Advanced Research and Applications Corp (ARACOR)
A080	Advanced Technology Corp
A081	Advanced Technology Laboratories, Inc
A082	Advanced Technology Labs, Inc
A083	Advanced Transportation Management, Inc
A084	Advance Industries, Inc
A085	Advance Manufacturing Corp
A086	AMI Industries, Inc
A086	Advance Ross Corp
A087	Advent Corporation
A088	Adventures, Inc
A089	Aec-Able Engineering Co, Inc
A090	Aer-Aqua Laboratories Inc
A091	Aer Corp
A092	Aerocomp, Inc
A093	Aeroflex Laboratories Inc
A094	Aeroglide Corporation
A095	Aero-Go, Inc
A096	Aerogon Industries, Inc
A097	Aerolab Supply Company
A098	Aeromet, Inc
A099	Aeronautical Radio, Inc
A100	Aeronautical Research Associates of Princeton, Inc
A101	Aero Nav Laboratories, Inc
A102	Aeronca, Inc
A103	Aerophysics Company
A104	Aerospace Avionics. Inc
A105	The Aerospace Corporation
A106	Aerospace Industrial Associates, Inc
A107	Aerospace Materials, Inc
A108	Aerospace Research Associates
A109	Aerospace Research Corporation
A110	Aerospace Systems, Inc
A111	Aerosystems Technology Corp
A112	Aero Tec Labs Inc
A113	Aero Tek, Inc
A114	Aerotronic Associates, Inc
A115	Aerovent inc
A116	Aerovironment, Inc
A117	Aesir Engineering Corporation
A118	Aesop Institute
A119	Aetna Life & Casualty
A120	AGA Burdox, Inc
A121	Agatha Corporation
A122	Ages Corp
A123	Agricultural laboratories, Inc
A124	Agri-Research Associates, Inc
A125	Agro-City Inc
A126	Agrophysics, Inc
A127	Aguirre Associates
A128	Agway Inc
A129	AHF Marketing Research, Inc
A130	Ahmed Associates, Inc
A131	A-I-D Labs of NY, Inc
A132	Aids Development Co, Inc
A133	Ainslie Corporation
A134	Airco, Inc
A135	Air Conditioning Corp
A136	Aircraft Technical Service, Inc
A137	Airflo Instrument Company
A138	Airflow Company
A139	Airko Manufacturing Co
